OBJECTID,ZIP_CODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
272,02540,272,1,0.008782091,0,0,0,0,0,0
273,02559,273,1,0.008782091,0,0,0,0,0,0
274,02562,274,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
275,02563,275,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
276,02568,276,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
277,02571,277,1,0.008782091,0,0,0,0,0,0
278,02633,278,1,0.008782091,0.28113842,0.28113842,0,0.28113842,0,0.28113842
279,02644,279,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
280,02645,280,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
281,02653,281,1,0.008782091,0.296345919,0.296345919,0,0.296345919,0,0.296345919
282,02657,282,1,0.008782091,0.386387825,0.386387825,0,0.386387825,0,0.386387825
283,02660,283,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
284,02666,284,1,0.008782091,0.337886333,0.337886333,0,0.337886333,0,0.337886333
285,02667,285,1,0.008782091,0.337886333,0.337886333,0,0.337886333,0,0.337886333
286,02668,286,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
287,02675,287,1,0.008782091,0,0,0,0,0,0
288,02702,288,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
289,02703,289,1,0.008782091,0,0,0,0,0,0
290,02713,290,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
291,02718,291,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
292,02738,292,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
293,02739,293,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
294,02743,294,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
295,02744,295,1,0.008782091,0,0,0,0,0,0
296,02747,296,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
297,02760,297,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
298,02764,298,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
299,02766,299,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
300,02767,300,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
301,02769,301,3,0.026346273,0.093712814,0.093712814,0,0.093712814,0,0.281138442
302,02770,302,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
303,02780,303,1,0.008782091,0,0,0,0,0,0
304,02790,304,3,0.026346273,0,0.187425628,0.187425628,0.093712814,0.076516192,0.281138442
305,02807,305,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
306,02808,306,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
