XCoord,YCoord,JOIN_COUNT,ID,ZIP_1
-75.59000000,39.67000000,1,2015010173.000000,19720.000000
-90.23000000,35.18000000,1,2015010174.000000,72364.000000
-94.53000000,35.40000000,1,2015010175.000000,74954.000000
-117.14000000,32.69000000,0,2015010176.000000,92113.000000
-76.49000000,42.44000000,1,2015010177.000000,14850.000000
-95.31000000,29.76000000,1,2015010178.000000,77020.000000
-103.83000000,48.07000000,1,2015010179.000000,58853.000000
-100.78000000,46.84000000,1,2015010180.000000,58501.000000
-97.45000000,35.38000000,1,2015010226.000000,73149.000000
-98.49000000,29.44000000,1,2015010227.000000,78212.000000
-96.41000000,30.14000000,1,2015010228.000000,77833.000000
-104.96000000,40.42000000,1,2015010229.000000,80538.000000
-87.65000000,41.81000000,1,2015010230.000000,60609.000000
-95.72000000,39.04000000,1,2015010231.000000,66604.000000
-74.19000000,40.70000000,1,2015010232.000000,7105.000000
-83.66000000,32.69000000,1,2015010233.000000,31216.000000
-75.37000000,41.20000000,1,2015010234.000000,18466.000000
-87.59000000,41.59000000,1,2015010235.000000,60473.000000
-106.39000000,31.81000000,1,2015010236.000000,79906.000000
-76.90000000,34.87000000,1,2015010237.000000,28533.000000
-99.08000000,26.52000000,1,2015010239.000000,78582.000000
-97.15000000,40.12000000,1,2015010240.000000,68352.000000
-95.31000000,29.76000000,1,2015010241.000000,77072.000000
-74.22000000,40.15000000,1,2015010242.000000,7731.000000
-81.62000000,41.01000000,1,2015010244.000000,44203.000000
-75.13000000,39.86000000,1,2015010246.000000,8093.000000
-90.11000000,31.55000000,1,2015010247.000000,39654.000000
-96.83000000,32.84000000,1,2015010248.000000,75209.000000
-77.05000000,39.85000000,1,2015010249.000000,17350.000000
-81.63000000,39.55000000,1,2015010250.000000,45715.000000
-96.02000000,41.25000000,1,2015010251.000000,68114.000000
-95.62000000,29.90000000,1,2015010010.000000,77240.000000
-84.18000000,34.17000000,1,2015010252.000000,30040.000000
-103.64000000,48.16000000,1,2015010253.000000,58801.000000
-91.42000000,44.78000000,1,2015010254.000000,54701.000000
-80.93000000,26.75000000,1,2015010255.000000,33440.000000
-79.57000000,40.56000000,1,2015010256.000000,15613.000000
