OBJECTID,ZCTA5CE10,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
197,71958,197,3,0.026346273,0,0.093712814,0.093712814,0.062475209,0.044176644,0.187425628
198,71959,198,2,0.017564182,0.296345919,0.337886333,0.041540414,0.317116126,0.020770207,0.634232253
199,73142,199,1,0.008782091,0,0,0,0,0,0
200,94404,200,1,0.008782091,0,0,0,0,0,0
201,94501,201,1,0.008782091,0,0,0,0,0,0
202,94505,202,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
203,94507,203,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
204,48801,204,1,0.008782091,0,0,0,0,0,0
205,42441,205,2,0.017564182,0.187425628,0.187425628,0,0.187425628,0,0.374851257
206,48806,206,3,0.026346273,0,0.093712814,0.093712814,0.062475209,0.044176644,0.187425628
207,42442,207,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
208,48808,208,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
209,48809,209,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
210,42445,210,10,0.087820911,0,0.20954822,0.20954822,0.113059778,0.055002283,1.130597778
211,39564,211,2,0.017564182,0,0.132529929,0.132529929,0.066264965,0.066264965,0.132529929
212,48811,212,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
213,42450,213,2,0.017564182,0.20954822,0.28113842,0.0715902,0.24534332,0.0357951,0.49068664
214,39565,214,7,0.061474637,0.093712814,0.20954822,0.115835406,0.162289407,0.050175607,1.136025846
215,42451,215,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
216,42452,216,2,0.017564182,0.187425628,0.20954822,0.022122592,0.198486924,0.011061296,0.396973848
217,48813,217,4,0.035128364,0,0.093712814,0.093712814,0.070284611,0.040578839,0.281138442
218,42455,218,3,0.026346273,0.187425628,0.20954822,0.022122592,0.202174023,0.01042869,0.606522068
219,48815,219,1,0.008782091,0,0,0,0,0,0
220,42456,220,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
221,48817,221,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
222,48818,222,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
223,42459,223,4,0.035128364,0.093712814,0.187425628,0.093712814,0.126845296,0.038398615,0.507381186
224,95837,224,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
225,95842,225,1,0.008782091,0,0,0,0,0,0
226,95901,226,6,0.052692546,0,0.265059859,0.265059859,0.119590891,0.078673787,0.717545345
227,95912,227,5,0.043910455,0.093712814,0.20954822,0.115835406,0.162128444,0.042626988,0.81064222
228,95914,228,2,0.017564182,0.20954822,0.20954822,0,0.20954822,0,0.41909644
229,95915,229,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
230,37352,230,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
231,33597,231,5,0.043910455,0.093712814,0.265059859,0.171347044,0.17765529,0.059724056,0.88827645
232,37353,232,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
233,33598,233,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
234,37354,234,2,0.017564182,0.132529929,0.187425628,0.054895699,0.159977779,0.02744785,0.319955558
235,37355,235,6,0.052692546,0,0.187425628,0.187425628,0.093712814,0.054105118,0.562276885
236,37356,236,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
237,37357,237,3,0.026346273,0.132529929,0.20954822,0.077018291,0.158202693,0.03630677,0.474608079
238,37359,238,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
239,37360,239,1,0.008782091,0,0,0,0,0,0
240,37361,240,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
241,61842,241,3,0.026346273,0.132529929,0.20954822,0.077018291,0.183875456,0.03630677,0.551626369
242,53527,242,2,0.017564182,0.093712814,0.187425628,0.093712814,0.140569221,0.046856407,0.281138442
243,61843,243,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
244,53528,244,2,0.017564182,0.132529929,0.132529929,0,0.132529929,0,0.265059859
245,53529,245,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
246,61844,246,2,0.017564182,0.187425628,0.20954822,0.022122592,0.198486924,0.011061296,0.396973848
247,61845,247,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
248,53530,248,5,0.043910455,0,0.132529929,0.132529929,0.082733674,0.044013981,0.413668372
249,61846,249,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
250,53531,250,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
251,61847,251,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
252,61849,252,1,0.008782091,0.296345919,0.296345919,0,0.296345919,0,0.296345919
253,61850,253,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
254,61851,254,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
255,53532,255,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
256,61852,256,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
257,61853,257,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
258,53533,258,3,0.026346273,0.093712814,0.20954822,0.115835406,0.145263654,0.048139181,0.435790963
259,61854,259,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
260,61855,260,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
261,53534,261,4,0.035128364,0,0.132529929,0.132529929,0.079988889,0.04882488,0.319955558
262,61856,262,3,0.026346273,0.093712814,0.132529929,0.038817115,0.106651853,0.018298564,0.319955558
263,53536,263,3,0.026346273,0.132529929,0.20954822,0.077018291,0.158202693,0.03630677,0.474608079
264,02536,264,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
265,02539,265,2,0.017564182,0.20954822,0.265059859,0.055511639,0.237304039,0.027755819,0.474608079
266,02542,266,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
267,02543,267,2,0.017564182,0.132529929,0.187425628,0.054895699,0.159977779,0.02744785,0.319955558
268,02559,268,1,0.008782091,0,0,0,0,0,0
269,02562,269,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
270,02563,270,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
271,75140,271,4,0.035128364,0,0.132529929,0.132529929,0.079988889,0.04882488,0.319955558
272,75142,272,7,0.061474637,0,0.20954822,0.20954822,0.115806031,0.064444906,0.81064222
273,75143,273,5,0.043910455,0.187425628,0.28113842,0.093712792,0.230544069,0.036033261,1.152720347
274,75144,274,6,0.052692546,0.093712814,0.265059859,0.171347044,0.182970778,0.055800907,1.09782467
275,75146,275,1,0.008782091,0,0,0,0,0,0
276,75147,276,2,0.017564182,0.265059859,0.28113842,0.016078562,0.273099139,0.008039281,0.546198279
277,75148,277,3,0.026346273,0,0.093712814,0.093712814,0.062475209,0.044176644,0.187425628
278,75152,278,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
279,75154,279,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
280,75155,280,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
281,75156,281,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
282,70464,282,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
