XCoord,YCoord,JOIN_COUNT,ZIPCODE
-122.4945688,37.77651638,0,94121
-122.4851266,37.75879854,1,94122
-122.4386302,37.8007892,0,94123
-122.3828509,37.72906488,0,94124
-122.4594723,37.73570081,0,94127
-122.3848638,37.62209638,0,94128
-122.466806,37.7973863,1,94129
-122.369648,37.82065721,0,94130
-122.4428853,37.74550939,4,94131
-122.4847491,37.722089,0,94132
-88.96762692,30.4040524,3,39531
-87.70067109,37.54299907,0,42409
-87.51257708,37.2772634,0,42410
-83.28123834,43.84464515,3,48755
-88.01803541,37.20309572,0,42411
-87.47094045,37.44363145,0,42413
-83.97406506,44.22941989,2,48756
-83.67944147,43.46940009,0,48757
-88.96448817,30.49356322,0,39532
-88.92110109,30.40672506,0,39534
-83.39469126,43.7292817,2,48759
-88.89900654,30.44175849,0,39540
-83.25751273,43.32115262,0,48760
-83.89240893,44.51190214,0,48761
-83.4887231,44.81746178,0,48762
-88.64728609,30.41220106,0,39553
-87.51679981,37.80344914,1,42420
-89.43769309,30.44860016,0,39556
-83.60971319,44.25084928,4,48763
-83.71790168,44.15242107,0,48765
-83.8469762,44.11107216,0,48766
-89.17402062,30.37487111,1,39560
-83.46616925,43.64859397,0,48767
-89.15499474,30.70490857,0,39561
-87.47832742,37.32921079,1,42431
-87.57025047,37.41445674,0,42436
-83.57789951,43.37135482,1,48768
-83.82085834,44.24875945,0,48770
-88.49274887,30.54708821,0,39562
-87.93655753,37.66393337,1,42437
-121.4063595,38.59034107,1,95825
-121.3791082,38.54515862,1,95826
-121.32564,38.55508047,0,95827
-121.3958383,38.48879375,0,95828
-121.3325072,38.48924329,0,95829
-121.27242,38.49413116,0,95830
-121.5290757,38.49581138,0,95831
-121.4964617,38.44511004,0,95832
-121.5158951,38.61564233,0,95833
-82.35936843,27.72363268,1,33573
-84.93328511,35.30249036,0,37336
-82.32909299,28.32590558,0,33576
-84.87054559,35.78337816,0,37337
-85.21398486,35.42082253,0,37338
-85.6342257,35.37997117,0,37339
-85.52314666,35.03171229,0,37340
-82.34993283,27.86330975,0,33578
-85.08402778,35.21552035,0,37341
-82.2874276,27.79651541,0,33579
-85.94762544,35.38823079,0,37342
-82.28792759,28.00869497,0,33584
-82.06727223,28.74632216,0,33585
-82.28809348,28.1006588,0,33592
-85.20912359,35.16886021,0,37343
-86.24024396,35.03671448,0,37345
-82.24202499,27.94077466,0,33594
-82.23611021,27.88810815,0,33596
-85.61905318,35.06113699,1,37347
-86.43732142,35.1259415,0,37348
-85.35018354,34.99392087,0,37350
-88.24350688,40.10890317,3,61820
-87.86490478,42.72989518,2,53406
-89.06549933,42.60620968,0,53501
-89.44190154,42.73289268,0,53502
-89.95611333,43.13936921,0,53503
-88.27503488,40.10955029,0,61821
-89.8600778,42.70421022,0,53504
-88.81889577,42.65696108,0,53505
-90.28772089,43.15082871,0,53506
-89.90260864,43.0023308,0,53507
-89.56424966,42.86882953,0,53508
-88.30530613,40.135768,0,61822
-90.31822919,42.73728424,0,53510
-88.72251249,40.02755878,0,61830
-87.79207125,40.22509297,0,61831
-89.09499036,42.54558301,3,53511
-89.75134176,43.11686166,0,53515
-89.86332633,42.8016684,0,53516
-89.83173444,43.03593968,0,53517
-87.63640587,40.13613007,4,61832
-90.59402652,43.24527276,0,53518
-87.64428006,40.09806031,0,61833
-89.35854028,42.59969356,0,53520
-89.40267215,42.84112453,0,53521
-87.63784713,40.16429136,0,61834
-89.79021852,42.55640301,0,53522
-88.62915946,40.13772362,0,61839
-88.29895287,40.30368605,0,61840
-89.03204431,42.98407756,0,53523
-87.82428329,40.02636286,0,61841
-88.85534769,42.54799535,0,53525
-71.26842195,42.29836898,0,2457
-71.18750652,42.35277571,0,2458
-71.19173036,42.31494565,0,2459
-71.20836847,42.35199217,0,2460
-71.20841509,42.31674918,0,2461
-71.25619703,42.32989719,1,2462
-71.21945884,42.3129043,0,2464
-71.22665975,42.34915685,0,2465
-71.24803125,42.34405775,0,2466
-71.16115754,42.31640918,2,2467
-71.23066468,42.32727772,0,2468
-71.17731115,42.3699996,0,2472
-71.15655794,42.42024162,2,2474
-71.17515649,42.41622239,0,2476
-71.1795078,42.39600294,2,2478
-71.27432686,42.31292141,1,2481
-71.29983986,42.29384481,2,2482
-71.24372946,42.27612149,2,2492
-71.30008458,42.35891362,0,2493
-71.23207821,42.29966296,0,2494
-70.59741393,41.75152108,0,2532
-70.62038455,41.66720013,0,2534
-70.76268697,41.32942719,0,2535
-96.5347751,33.01187914,0,75098
-96.7024949,32.27003208,0,75101
-96.64223177,32.06632502,0,75102
-95.88229115,32.51192805,0,75103
-96.96619982,32.58041158,0,75104
-96.37521326,32.26653199,0,75105
-96.35403423,32.04520625,0,75109
-96.52878151,32.08693056,1,75110
-96.44551759,32.61017045,0,75114
-96.86372977,32.59884431,1,75115
-96.91395282,32.6601536,0,75116
-95.85080365,32.71183322,0,75117
-96.59330104,32.32976925,1,75119
-95.97243129,32.32678274,0,75124
-96.62480435,32.5313651,0,75125
-96.45183136,32.74205524,0,75126
-95.7933512,32.69120204,0,75127
-96.37371638,32.94537704,0,75132
-96.78298255,32.62007444,1,75134
-96.22291696,33.06522551,0,75135
-82.95527258,43.51347901,0,48472
-83.82618848,42.93989144,1,48473
-88.33451277,36.85638432,1,42025
-82.93943412,43.67061293,2,48475
-84.02989833,42.93849046,0,48476
-83.68864605,43.01364293,0,48502
-88.62848129,36.91632667,0,42027
-88.33791604,37.23924181,0,42028
-88.39219543,37.00777058,0,42029
-83.68843818,43.01183131,4,48503
-88.99123529,36.68753911,1,42031
-89.10796937,36.77217113,0,42032
-88.84194357,36.90493581,0,42035
-88.22520432,36.72212974,0,42036
-88.18770716,37.17278129,0,42037
-83.74978796,43.05725227,1,48504
-88.02224188,37.04140577,0,42038
-88.8314409,36.78262386,0,42039
-88.50267563,36.62047237,0,42040
-88.87486243,36.54752554,2,42041
-83.68749829,43.07040583,0,48505
-81.82654253,34.98375849,0,29324
-81.84267572,34.47225948,4,29325
-80.62896803,36.48898645,1,27030
-80.38975603,36.1688898,0,27040
-80.48240263,36.41988605,0,27041
-80.05593603,36.34116239,0,27042
-80.45029594,36.33748381,0,27043
-80.29578132,36.2348796,0,27045
-80.09054976,36.49321282,0,27046
-80.57765717,36.3115553,0,27047
-79.91058159,36.47574337,0,27048
-80.40130872,36.23600628,0,27050
-80.16050114,36.1876027,0,27051
-80.15439181,36.32617432,0,27052
-80.34828081,36.47282199,0,27053
-80.59842582,35.79243776,0,27054
-80.6337149,36.1134407,1,27055
-80.19859963,36.11173036,1,27101
-80.32148271,36.05798858,5,27103
-80.32389612,36.0948143,1,27104
-80.23476621,36.1628415,0,27105
-80.32260431,36.14290408,0,27106
-80.17831036,36.01471873,0,27107
-80.27763454,36.13392815,0,27109
-80.22495976,36.08925964,0,27110
-80.27892129,36.01990708,0,27127
-83.36321094,41.45952055,0,43469
-84.45726596,41.67247352,0,43501
-84.2988353,41.53021362,0,43502
-83.83674918,41.69577291,0,43504
-84.73126344,41.52394574,0,43505
-84.55622629,41.46628941,1,43506
-83.82368261,41.26338812,0,43511
-84.35805248,41.30271485,2,43512
-84.00776524,41.58529861,0,43515
-83.91494459,41.21789044,0,43516
-84.72684184,41.44020395,0,43517
-84.75393658,41.58912937,0,43518
-84.408592,41.4209268,0,43519
-84.29872494,41.66290936,0,43521
-83.84483207,41.41915339,0,43522
-83.98925407,41.33706523,0,43523
-84.03955336,41.22847287,0,43524
-83.70445009,41.46658249,0,43525
-84.72805863,41.3144751,1,43526
-84.16010633,41.25057269,0,43527
-83.74899403,41.62858911,0,43528
-118.2181995,44.45642536,0,97884
-117.5117751,45.65584576,0,97885
-118.234758,45.79871485,0,97886
-117.0900536,43.62895196,0,97901
-117.6205672,44.2486833,0,97903
-118.5106211,43.88226152,0,97904
